Date,TTWO
2024-11-11,167.42109704275208
2024-11-12,169.30173309208385
2024-11-13,171.30517227642122
2024-11-14,171.78896757291022
2024-11-15,168.67860512875632
2024-11-18,173.66092487372953
2024-11-19,175.56552974967872
2024-11-20,174.8745592534542
2024-11-21,176.91702372127838
2024-11-22,179.71522510889736
2024-11-25,179.02887241668213
2024-11-26,179.85886425339595
2024-11-27,176.87208127246777
2024-11-28,175.67892494565967
2024-11-29,178.33934627495182
2024-12-02,178.23486491123003
2024-12-03,179.08388849109542
2024-12-04,179.0534737043572
2024-12-05,180.7375302804394
2024-12-06,179.21524449639037
2024-12-09,177.84358174684348
2024-12-10,175.6100597346649
2024-12-11,180.82273184540372
2024-12-12,180.49176468694077
2024-12-13,177.0851688673638
2024-12-16,178.09615089436556
2024-12-17,176.7840991624871
2024-12-18,173.319774206293
2024-12-19,175.242105403413
2024-12-20,175.56283504121893
2024-12-23,175.61454154907915
2024-12-24,178.1597940986967
2024-12-25,178.21540927745627
2024-12-26,179.96931229111397
2024-12-27,178.8609346353369
2024-12-30,176.9424815724724
2024-12-31,176.89535651212918
2025-01-02,176.84745310326252
2025-01-03,183.81984867155552
2025-01-06,183.3805174412655
2025-01-07,174.98890471458435
2025-01-08,177.6030894673977
2025-01-09,178.13409639407382
2025-01-10,173.44816672110937
2025-01-13,174.49478502028796
2025-01-14,175.37802641625422
2025-01-15,175.92210768353107
2025-01-16,178.11093879219698
2025-01-17,180.94632868761983
2025-01-20,181.37879832814542
2025-01-21,177.66589993079833
2025-01-22,180.65651757686373
2025-01-23,176.57750243655028
2025-01-24,178.0815347516018
2025-01-27,179.47784510847123
2025-01-28,179.16596595384635
2025-01-29,182.26969010696666
2025-01-30,183.42972010575704
2025-01-31,178.4216622979302
2025-02-03,181.5708354663111
2025-02-04,177.72177273337184
2025-02-05,178.2739750113533
2025-02-06,176.0240975198776
2025-02-07,201.01628385292315
2025-02-10,206.08794839472012
2025-02-11,203.7950599754513
2025-02-12,201.8147623328332
2025-02-13,202.16539651081075
2025-02-14,199.5474102513208
2025-02-17,199.02343277086857
2025-02-18,206.36377869534044
2025-02-19,205.94662353234162
2025-02-20,206.54430319528183
2025-02-21,201.5606372583752
2025-02-24,202.40914002244153
2025-02-25,198.74117529633622
2025-02-26,198.69632702708532
2025-02-27,198.50742369717227
2025-02-28,203.92263583925705
2025-03-03,199.78209052177135
2025-03-04,198.90248006173897
2025-03-05,202.13620442489628
2025-03-06,192.56245098427462
2025-03-07,189.40573675133055
2025-03-10,185.92905519169653
2025-03-11,188.01772604197686
2025-03-12,188.13155613105846
2025-03-13,187.0524880612429
2025-03-14,188.44580136028526
2025-03-17,189.77556160092354
2025-03-18,187.12034962987673
2025-03-19,190.9231076181286
2025-03-20,192.11122463905485
2025-03-21,196.62508488201638
2025-03-24,197.04196443189994
2025-03-25,201.73888041128248
2025-03-26,200.13002644881726
2025-03-27,199.4868415880901
2025-03-28,194.86155017740748
2025-03-31,191.47412607073784
2025-04-01,194.22527081307635
2025-04-02,195.53560436070256
2025-04-03,191.52612544154545
2025-04-04,176.19024219492985
2025-04-07,179.8253834590687
2025-04-08,179.79247890412807
2025-04-09,189.54607199104794
2025-04-10,186.6406467574252
2025-04-11,188.37542975012184
2025-04-14,187.7345896698589
2025-04-15,189.247165197281
2025-04-16,187.2010355306702
2025-04-17,186.69290738671407
2025-04-21,180.01558863579703
2025-04-22,182.3799453430729
2025-04-23,187.90876805216976
2025-04-24,196.59519022347376
2025-04-25,198.19016563756304
2025-04-28,198.84262916072657
2025-04-29,202.2150130717655
2025-04-30,204.85963015622474
2025-05-01,207.65746708952975
2025-05-02,194.3079860508442
2025-05-05,198.9891174698023
2025-05-06,204.92569123819885
2025-05-07,199.54586527903484
2025-05-08,199.40375563592534
2025-05-09,201.84019353184794
2025-05-12,201.47562704980373
2025-05-13,203.82896905025336
2025-05-14,205.1752966940403
2025-05-15,207.78165500248724
2025-05-16,202.57859235879368
2025-05-19,209.7508509646741
2025-05-20,211.42250448465347
2025-05-21,200.8866838047179
2025-05-22,199.45834487420052
2025-05-23,199.42664484970464
2025-05-26,197.8314584884265
2025-05-27,198.68316770796628
2025-05-28,201.40075944226282
2025-05-29,200.63766779092293
2025-05-30,198.8684390020935
2025-06-02,200.47008737289434
2025-06-03,200.50740570691596
2025-06-04,201.30941701432675
2025-06-05,202.26676932929513
2025-06-06,203.18085183861695
2025-06-09,204.6837681531906
2025-06-10,205.55564836337908
2025-06-11,205.23787470324805
2025-06-12,203.7129229181046
2025-06-13,198.46976709236242
2025-06-16,206.46058521310806
2025-06-17,205.62106923898318
2025-06-18,207.70488184690475
2025-06-19,207.7978952229023
2025-06-20,207.04818035032076
2025-06-23,210.0624973230315
2025-06-24,209.5431295985918
2025-06-25,208.09069711337816
2025-06-26,204.8401495291555
2025-06-27,206.49639767598273
2025-06-30,207.07819900014874
2025-07-01,203.69605018938273
2025-07-02,202.87934187203336
2025-07-03,203.47881996141587
2025-07-04,203.9758499937643
2025-07-07,205.86916373823624
2025-07-08,204.9667385900284
2025-07-09,206.60038134535625
2025-07-10,200.60235016624029
2025-07-11,199.88463743148804
2025-07-14,204.12415506368689
2025-07-15,203.7493030019341
2025-07-16,205.67066409327072
2025-07-17,201.0355251788269
2025-07-18,199.0274820679515
2025-07-21,199.1531681849956
2025-07-22,197.58795773176462
2025-07-23,194.84364073094093
2025-07-24,191.73172818124294
2025-07-25,191.17683865129948
2025-07-28,192.31388740529837
2025-07-29,193.14018839416622
2025-07-30,193.7590264159262
2025-07-31,194.87537758912458
2025-08-01,193.089121857367
2025-08-04,195.04293358919676
2025-08-05,195.02544229751584
2025-08-06,196.22310218025177
2025-08-07,194.19253073143864
2025-08-08,186.1578432895476
2025-08-11,191.1666404531161
2025-08-12,200.1643925157623
2025-08-13,202.22556932632142
2025-08-14,199.06268566936342
2025-08-15,199.27311987374924
2025-08-18,198.6488573483266
2025-08-19,195.70909240102083
2025-08-20,196.40922982895245
2025-08-21,195.56714651304355
2025-08-22,197.21773607699106
2025-08-25,197.98281515210147
2025-08-26,198.666782901455
2025-08-27,199.3485717031126
2025-08-28,201.66633603498667
2025-08-29,199.6907905388871
2025-09-01,199.51583681213287
2025-09-02,205.6604611902685
2025-09-03,205.2762783968601
2025-09-04,206.38142843137757
2025-09-05,205.61188540614603
2025-09-08,212.3934304067734
2025-09-09,210.60168693069954
2025-09-10,208.53217321569446
2025-09-11,210.65609415976724
2025-09-12,209.8553771891602
2025-09-15,210.84737530350685
2025-09-16,210.58783739250794
2025-09-17,211.02803573014535
2025-09-18,211.1726633946737
2025-09-19,212.74589182707314
2025-09-22,214.39979881736144
2025-09-23,212.9296409610306
2025-09-24,206.62804384119954
2025-09-25,208.6989164011984
2025-09-26,219.60496260639047
2025-09-29,222.0318258259431
2025-09-30,220.2286398787328
2025-10-01,217.62378108179473
2025-10-02,218.96940858167
2025-10-03,219.76753212924814
2025-10-06,219.40695977154792
2025-10-07,222.45398116111755
2025-10-08,221.4318138530689
2025-10-09,220.67640129228312
2025-10-10,217.8457094053265
2025-10-13,221.22992350405184
2025-10-14,222.80924492989652
2025-10-15,225.3868426680565
2025-10-16,222.5852605542259
2025-10-17,223.38369333889204
2025-10-20,224.99760842127034
2025-10-21,223.5232642324081
2025-10-22,220.3029360205437
2025-10-23,219.262322891218
2025-10-24,219.58943145567173
2025-10-27,218.60100595860058
2025-10-28,215.9074451876004
2025-10-29,215.93147134504397
2025-10-30,217.85085413157503
2025-10-31,221.5344418627792
2025-11-03,221.76358691293717
2025-11-04,219.1395289442189
2025-11-05,221.80933860063396
2025-11-06,219.54003494569406
2025-11-07,200.8795166015625
2025-11-10,202.75681164133493
2025-11-11,208.26808056227492
2025-11-12,207.41341099484453
2025-11-13,204.92250471816533
2025-11-14,202.05529562135598
2025-11-17,201.09603695081296
2025-11-18,206.27968115218937
2025-11-19,207.6300063038625
2025-11-20,203.94810548283567
2025-11-21,204.1430696848238
2025-11-24,207.74944663593124
2025-11-25,209.92920379322823
2025-11-26,210.66443033012183
2025-11-27,209.98713398621476
2025-11-28,212.132026497864
2025-12-01,214.9211017072903
2025-12-02,212.64405269773488
2025-12-03,210.6570008795261
2025-12-04,212.14823937755227
2025-12-05,212.90413881785207
2025-12-08,212.435766878476
2025-12-09,213.6590730903672
2025-12-10,211.5698165704398
2025-12-11,207.16601950390577
2025-12-12,205.69139250311127
2025-12-15,208.35533634565581
2025-12-16,208.02900633257923
2025-12-17,204.73211422719487
2025-12-18,210.05207236076058
2025-12-19,210.990135006321
2025-12-22,212.31466598977204
2025-12-23,211.82307085981665
2025-12-24,213.30145046786492
2025-12-26,217.29492968961858
2025-12-29,217.19669423161122
2025-12-30,219.07133555637301
2025-12-31,217.9480984065649
2026-01-02,214.11915120753474
2026-01-05,219.8353654995808
2026-01-06,217.11570340750586
2026-01-07,219.59659789744364
2026-01-08,216.1382394550019
2026-01-09,215.05653497585445
2026-01-12,214.1483681208656
2026-01-13,212.12862793339355
2026-01-14,210.85627015221507
2026-01-15,209.80009815127596
2026-01-16,206.85659744377517
2026-01-19,206.5732338888256
2026-01-20,206.72489894675618
2026-01-21,203.13157376948675
2026-01-22,206.54554743910012
2026-01-23,209.049879738669
2026-01-26,207.13487478563184
2026-01-27,206.7278454705811
2026-01-28,202.3525007230237
2026-01-29,199.76173982526052
2026-01-30,184.10911913447762
2026-02-02,187.19433368874888
2026-02-03,179.82467662651925
2026-02-04,169.9031845381851
2026-02-05,163.73998388831933
2026-02-06,166.06568353678995
2026-02-09,173.37542189013402
2026-02-10,177.00693736214816
2026-02-11,171.48576104387303
2026-02-12,160.28882917537612
2026-02-13,163.18053168334063
2026-02-16,163.1940839066565
2026-02-17,163.60495237222494
2026-02-18,168.01594161987305
2026-02-19,170.81410912755382
2026-02-20,169.69809193619767
2026-02-23,165.26767683297658
2026-02-24,173.13269763708013
2026-02-25,176.05594336659487
2026-02-26,180.52224772840054
2026-02-27,179.17430548130505
2026-03-02,181.87927929062425
2026-03-03,185.5560481471348
2026-03-04,185.8124926279752
2026-03-05,182.65466005735834
2026-03-06,182.2009016275406
2026-03-09,186.2580668789742
2026-03-10,179.9739777590912
2026-03-11,181.79704087174105
2026-03-12,181.2320494440155
2026-03-13,181.0328399588352
2026-03-16,181.62490228232855
2026-03-17,179.76371264752197
2026-03-18,176.9750155632355
2026-03-19,175.9784498512745
2026-03-20,173.29216582462686
2026-03-23,173.73463128637923
2026-03-24,164.87290932730684
2026-03-25,166.21218666030018
2026-03-26,168.4211154528839
2026-03-27,164.4460558455612
2026-03-30,168.01242465565338
2026-03-31,172.33850374817848
2026-04-01,171.24281711362073
2026-04-02,172.44183987688302
2026-04-03,173.1713553710506
2026-04-06,170.88624063470706
2026-04-07,171.8450184063704
2026-04-08,172.95860032661585
2026-04-09,169.86353111643893
2026-04-10,168.56186084653018
2026-04-13,172.4688671428421
2026-04-14,174.2734698658751
2026-04-15,181.4921254435776
2026-04-16,181.15592406125143
2026-04-17,179.9583395315667
2026-04-20,184.6911519148398
2026-04-21,184.69343242677496
2026-04-22,185.78442484358675
2026-04-23,179.30917453907568
2026-04-24,180.37671464681625
2026-04-27,182.60874789960417
2026-04-28,181.69538917293812
2026-04-29,183.77115114969638
2026-04-30,182.94007853553467
2026-05-01,184.18285871202715
2026-05-04,192.0244943638354
2026-05-05,190.82375145603237
2026-05-06,189.48810374736786
2026-05-07,190.25437340140343
2026-05-08,187.9115784708929
2026-05-11,188.1830542923126
2026-05-12,191.8429202106372
2026-05-13,193.42271945007906
2026-05-14,206.90420793359772
2026-05-15,207.88745075478437
2026-05-18,208.49976349948884
2026-05-19,204.32174438084257
2026-05-20,203.85759521023283
2026-05-21,204.79403065830684
2026-05-22,195.80677263483994
2026-05-25,195.45180082784464
2026-05-26,189.62173325671574
2026-05-27,187.7314248070752
2026-05-28,187.5294208978521
2026-05-29,192.36515298398444
2026-06-01,194.85097631492044
2026-06-02,191.12227777155204
2026-06-03,185.68079710328675
2026-06-04,186.61581110630686
2026-06-05,184.6176599944847
2026-06-08,184.4636497309466
2026-06-09,183.93641740452676
2026-06-10,182.44778546021098
2026-06-11,183.8479119104477
2026-06-12,182.92235735058784
2026-06-15,186.35566161294628
2026-06-16,198.3491287943125
2026-06-17,196.4090726333834
2026-06-18,207.93670494810794
2026-06-19,208.8220452336609
2026-06-22,208.99847203190802
2026-06-23,212.33668272488558
2026-06-24,207.18760518850286
2026-06-25,210.24786030515133
2026-06-26,209.94218322542474
2026-06-29,217.07184239697926
2026-06-30,218.85749210024824
2026-07-01,219.32287570379776
2026-07-02,224.10816030076148
2026-07-03,223.2310041511937
2026-07-06,225.92786699038697
2026-07-07,225.30588938624896
2026-07-08,220.43513062093552
2026-07-09,215.46056109375968
2026-07-10,212.71000709646614
2026-07-13,214.0390925401116
2026-07-14,208.2159366808546
2026-07-15,213.39814027639386
2026-07-16,208.86191731508006
2026-07-17,206.80387685722962
2026-07-20,209.1242190906396
2026-07-21,206.62749078045454
2026-07-22,204.82630763759425
