Date,GOOG,META,MSFT,AAPL
2023-07-07,109.27989818454762,264.4481959258883,301.91657595828474,172.51677224353443
2023-07-10,105.53907185124899,265.7677030355808,294.9489457906384,169.41365905975545
2023-07-11,105.94780197857017,268.66697826306336,294.5453296102496,168.38165655121884
2023-07-12,107.58754574697377,278.41412948799916,298.5155471065045,169.7693778161829
2023-07-13,110.95899917891074,278.77477459063084,299.7975213315731,168.46248971277964
2023-07-14,110.94660437725724,272.80445946005057,299.93062991872284,167.40951442605729
2023-07-17,110.33958056435677,274.2453914171783,300.2417539725302,170.2416487326136
2023-07-18,109.37905609146401,275.2666759160329,311.91787016520357,169.8645929484237
2023-07-19,108.31701993120441,278.97600998450434,308.3303538052023,171.19845447441094
2023-07-20,105.67247802147995,267.63071894452696,301.8371431493342,169.8275666645859
2023-07-21,107.0127617895223,261.916039188236,300.96975623743856,169.81375912275507
2023-07-24,108.5239474097607,259.8318996226117,302.46256666835507,170.7108018160261
2023-07-25,109.94849541210533,263.8543707700046,309.3353993366036,172.44476340510118
2023-07-26,116.2335900370017,267.83597933353667,298.03531431430383,173.42782566998721
2023-07-27,116.12854109531872,278.918775879054,291.0794529947052,171.85245317388217
2023-07-28,120.0154240738675,293.8827411483526,300.51461745440974,175.75413137324358
2023-07-31,119.60981639602323,286.48315240510783,297.10721713287967,175.58274821103169
2023-08-01,118.80101044599542,290.8825919543142,298.2001177852908,175.25600763382954
2023-08-02,115.7652255866733,283.04614868700446,290.091105275118,172.38000970495705
2023-08-03,116.55703802900189,283.6799620235215,291.0320198545851,172.1143569032938
2023-08-04,116.269894937348,281.26084698195336,291.8316949407381,163.7382123607931
2023-08-07,118.7911483210919,285.20732776800287,292.5413881839122,160.16593705384366
2023-08-08,118.69589217881366,281.6631595546987,288.93069309859675,161.0095719219098
2023-08-09,117.64756319353182,276.079711498096,286.6987188861458,160.2122167485959
2023-08-10,117.50056992229929,276.0862626003254,286.8302838376585,159.74083897916535
2023-08-11,117.4219226830046,272.285345987435,285.0216310506021,159.7368737417646
2023-08-14,119.32418767352829,277.33340334256354,288.691425379875,161.78624429717274
2023-08-15,118.28510546631514,274.35805807787983,287.6561985790031,160.48015993447189
2023-08-16,117.29323709745404,267.53807491713997,287.10788675217555,159.7679247900296
2023-08-17,118.83890092516049,259.8724129291859,284.7184474334408,157.8665415472533
2023-08-18,116.70076952743784,258.2008003858846,284.36524491971795,158.3145546121159
2023-08-21,117.43749985048453,264.2397237168552,289.1920855997196,159.5255205459198
2023-08-22,117.88311657673148,261.5958789142678,289.1082217006806,160.45081219814165
2023-08-23,121.65932491424701,268.9101665818962,294.57503226275,164.75347977933234
2023-08-24,118.90193948844444,261.6044634716727,287.73556282356185,160.1598856269593
2023-08-25,119.88345611432669,262.0715924424985,292.2348668254963,163.18576844765994
2023-08-28,120.91205400322997,266.48415253115127,292.9337796078944,164.6559952232501
2023-08-29,123.98323206230998,272.86910609708866,296.42275723631246,167.80937976207133
2023-08-30,124.79765548691648,269.1374129930773,295.5738718847606,170.33977211374986
2023-08-31,124.4552622762485,268.29449865013885,292.94092859984084,169.55148105041553
2023-09-01,124.9678385010975,270.9305772421176,296.141021964635,172.3809575718824
2023-09-04,125.75924686960207,272.64635250625724,298.0164523621788,173.47262830916588
2023-09-05,125.4598439763131,275.63837985589635,301.92902284325646,173.39291622555538
2023-09-06,125.02130384733573,276.4881977332516,303.241576501463,168.25135191461595
2023-09-07,125.81077471009121,276.07646363980894,300.59088087516466,163.35995216608262
2023-09-08,127.04711713254255,276.03462779098845,305.3146259896821,164.33466348197544
2023-09-11,127.3056158687632,284.4555018024803,308.0822013674515,165.10974173403883
2023-09-12,125.38471500279957,278.1614178599484,301.5496680713841,161.80579990831757
2023-09-13,126.66836787848297,281.2209606722972,305.3668819484301,159.84467748349925
2023-09-14,128.26816470790436,287.8704193584708,308.3117720489172,161.53462521562324
2023-09-15,128.79592538884663,279.8637978550596,303.3352273998971,162.33134247899125
2023-09-18,129.03340373111496,281.12953046763687,301.3886694761113,164.59577126709246
2023-09-19,128.6183656630419,282.82396588371194,300.32589130113774,165.23504860167668
2023-09-20,124.81422621425645,278.0940065986888,293.4165208099148,162.09266942228078
2023-09-21,122.15067486163662,275.1852048929359,293.0784578588773,161.08935138938068
2023-09-22,121.95086239232296,278.08008176834846,290.53482599309064,161.75650441897233
2023-09-25,122.95624503174622,280.0501000965087,291.37733501486946,163.15010162462204
2023-09-26,121.07218463413665,279.802987775407,287.9594205281428,160.18779777967666
2023-09-27,123.20992952914821,279.2455290844009,289.16419775599934,159.09543221072454
2023-09-28,125.53741979306506,286.8207647439558,291.72135907992197,160.31158948736993
2023-09-29,123.65774649000195,281.7496232025642,292.09490660274605,159.9300041748602
2023-10-02,126.73799110856635,287.87716146137427,297.6130728574026,162.25981734467496
2023-10-03,125.99216978264394,284.6363288327757,292.1717078954407,162.2969354338511
2023-10-04,128.90327115417676,289.25821223048115,297.60452453634934,163.6150440180354
2023-10-05,128.2127392698494,287.5556667914934,296.99162543531565,164.24735994108778
2023-10-06,130.30542001384583,296.47772589342276,303.1967754633424,166.0449302580064
2023-10-09,130.77024305835948,298.64155225826835,304.9658617985551,167.11797721211042
2023-10-10,130.34839652755727,301.58061528663893,303.3163499439488,166.37822549605698
2023-10-11,132.3651084560761,306.4334728184913,306.2883783779289,167.2834870251054
2023-10-12,130.80758699240778,302.4563100303494,304.5675796278065,167.8216752710705
2023-10-13,130.28671259010025,296.05983600457876,303.9172408707236,167.47428048756774
2023-10-16,132.27307830701193,302.57350734084866,308.9157305152621,167.59411970386827
2023-10-17,132.3318150737805,304.3112509254588,307.4199384322583,165.6062534618759
2023-10-18,130.4950587063031,297.18050465050874,305.07274504196175,164.09013874588618
2023-10-19,130.64072042361659,294.2415258203255,307.19449710340996,164.27219962697563
2023-10-20,127.95269541924245,289.0127728394873,301.5106193593674,161.12323716662831
2023-10-23,128.99576642818738,293.93529935498555,303.8567992766348,161.1821705810753
2023-10-24,130.09109811250528,290.3781379644497,302.6898185956343,160.38222625589697
2023-10-25,118.43066996081325,280.2384931851266,314.1693953965005,159.33089806666248
2023-10-26,115.71770478039298,270.49598904816776,303.1877812379753,155.82379776516973
2023-10-27,115.71076321284863,278.43069378627115,305.0437017165368,157.10711695223017
2023-10-30,117.93675371662448,284.0490052467412,312.0396997636308,159.07061071369935
2023-10-31,116.93257861158781,281.34379643302236,311.2303679905308,158.72875724820915
2023-11-01,119.4553775997415,292.213244187089,319.63965927692516,162.25240002432838
2023-11-02,120.31070583324026,291.07612778375915,321.47617825878115,165.4855279543217
2023-11-03,121.61751498602098,293.67986446176656,324.6283940876601,164.1313980964478
2023-11-06,121.3332622953858,291.69456464123505,324.60472759033655,164.77434753444686
2023-11-07,122.33079779541004,294.77480715349884,328.57066485907126,167.32050689216885
2023-11-08,123.41845766179176,296.3661917945956,331.7918654811274,168.70577138544377
2023-11-09,121.80134964982881,296.68255594176117,329.0583205717958,168.03800195739495
2023-11-10,124.4913828092267,305.5126709626966,338.60535957546745,172.63043786265916
2023-11-13,123.8392474791408,305.2568426404541,335.1572083281808,170.78714225232216
2023-11-14,125.3611190932661,311.51916495706973,338.06954778006184,173.03806831959628
2023-11-15,124.19238566138665,303.1845691469498,332.7197810605867,170.7483696634299
2023-11-16,126.58120085660266,305.1991159522113,339.3103696121034,172.66902091347583
2023-11-17,124.98448751182877,305.99858166242484,333.63495740282815,172.6639443957538
2023-11-20,125.26410669312827,308.98468272545324,338.81883258623566,173.41479956127478
2023-11-21,125.45222686103261,305.17826539380985,333.7051689256041,172.06712502081336
2023-11-22,127.04104208342324,310.0479955334231,338.8390859371211,173.1103393077392
2023-11-23,127.36006976381759,310.8265934668452,339.6899845588632,173.5450570107423
2023-11-24,125.54482556284256,307.42342844967243,338.8318976744249,172.08553021256103
2023-11-27,124.99925574564713,303.2660854168462,338.83113524586224,171.3862153869759
2023-11-28,125.30941721335876,306.6490923301317,341.9293409120128,171.6548818845331
2023-11-29,122.77017638355574,299.2093633752702,337.0280349023524,169.98913372159222
2023-11-30,120.89221310506582,295.52680382069957,338.0719176594175,171.01082680258332
2023-12-01,121.25264711223463,295.62125130501227,336.6506101753148,173.46265007804686
2023-12-04,118.84879860683031,291.3574176080838,331.9427281443677,171.8826498926246
2023-12-05,121.0100844421604,291.12958607721885,336.5395304793219,176.31900481295907
2023-12-06,120.62344832963663,291.5476176010561,334.5401732333248,176.03260453091752
2023-12-07,127.3844320128319,300.6929760893763,337.3330716061173,178.26272362598502
2023-12-08,125.42266504008148,305.6421759505902,339.5133810264524,179.1606283778965
2023-12-11,123.94481799138703,299.51267599148196,337.68042370271723,177.27782584540182
2023-12-12,122.96020156581108,307.7212599219456,340.45587554697704,178.66840198494538
2023-12-13,122.89754331838321,307.2841648310259,339.4350593434883,181.11084829434913
2023-12-14,121.209480455027,303.3857671347105,329.11710834934274,179.7918597131711
2023-12-15,120.60123646084139,301.9978608004949,330.1746779011919,177.54901895911007
2023-12-18,124.73562499193213,313.5491608642478,334.8801090865745,177.62815510323708
2023-12-19,125.23471127706307,317.93802225435684,334.5511995776342,178.11330996255583
2023-12-20,125.98944531497182,315.30647470179247,330.4540625671143,175.2868676208709
2023-12-21,128.3329787738512,320.6805241273105,334.1328718964178,175.71736501778105
2023-12-22,128.4558496693844,318.2880421671871,333.222049627635,173.78239621936154
2023-12-25,128.21832743908635,317.6995093300502,332.6059029545504,173.46106260596207
