Date,META,MSFT,GOOG,AAPL
2024-06-13,462.623738580136,401.2990971192794,162.09978582309304,196.2583573520269
2024-06-14,466.3432857274893,404.98226799967233,164.72692048363388,196.00233112290152
2024-06-17,470.23339712548295,411.69518050390616,165.67115814486897,200.54264287686328
2024-06-18,461.944179261247,408.3618163887604,162.92577560830796,197.628680176128
2024-06-19,461.8747113428799,408.30040627342896,162.90127456470145,197.59896045318783
2024-06-20,463.51966693976465,407.3646509308692,163.9235723888869,193.1818856313066
2024-06-21,459.0528640159573,412.8262859138522,166.97650931607313,191.96988128449902
2024-06-24,463.6924652472662,411.6067022315947,167.75969056187023,192.90732566562474
2024-06-25,472.5690460638816,412.88535502571904,171.48299916920678,192.957458570977
2024-06-26,475.9259032106602,414.88629683830004,171.65847686541747,197.23988444426323
2024-06-27,483.2306179870284,416.6675749807164,173.51637314393884,198.57327719436944
2024-06-28,467.721082197113,410.1497108351941,169.87088655022944,194.828207356868
2024-07-01,466.9796962767723,418.0787203484797,170.43552368761448,199.99831508089846
2024-07-02,471.3586813553047,420.34069417146384,172.3644099516605,203.21135667129056
2024-07-03,471.2877854544313,421.2606097269381,172.9027348877098,204.17715503955878
2024-07-04,469.32742497267645,419.5083414159053,172.18353167658825,203.3278632938991
2024-07-05,496.09195514385647,425.0057194521123,176.09903766639218,207.38985608305302
2024-07-08,485.67275334805163,423.20568205806194,174.49384006292712,208.45030048473018
2024-07-09,486.0754756446986,416.9344603735517,174.3778887063454,209.14205184255115
2024-07-10,491.10977467093835,423.6546292398016,176.67434664233224,213.39315278212416
2024-07-11,470.1074345637662,412.4538077000452,171.46555179481584,208.08181074103413
2024-07-12,455.76624366136457,409.91755682684015,170.36900935532503,210.0324501389623
2024-07-15,452.7580738370307,409.80630958492475,171.45349395558605,213.29832536241247
2024-07-16,446.28850222725305,405.2018441955079,168.75439180952526,213.36651575229553
2024-07-17,420.9208441129085,399.7585007181988,166.11988344560814,207.95105504467574
2024-07-18,432.05513880049693,395.55184822380033,162.46544724110026,202.97910352616782
2024-07-19,434.4431327226266,394.015364149127,163.19596204428308,203.81670569873677
2024-07-22,444.2076566343312,399.35764723333705,166.8348821227337,203.54305885019858
2024-07-23,445.7667782940007,401.42506758693344,167.20618571762316,204.67340213622265
2024-07-24,422.2718083713298,388.4270839527053,159.37272851233865,199.5046981354626
2024-07-25,415.50419310051257,379.3085477114764,154.77022443313126,198.7508428736137
2024-07-26,426.30413097873134,385.11871038040954,154.16374096644176,198.96443406837534
2024-07-29,426.21613007679116,386.35279553054716,156.3672934724309,199.1746253184101
2024-07-30,425.2533384451999,384.11691344270366,157.53199425294042,200.3185793535522
2024-07-31,436.07678177977505,380.0854154969784,158.7642344586584,203.3853117527542
2024-08-01,456.78568305300723,378.6842167162831,158.00780868011134,199.8335651411362
2024-08-02,449.4835419126175,372.1066410577441,154.8163780592149,201.88356687767828
2024-08-05,433.10873083010665,355.88931966461314,146.0143230997055,189.9891025949546
2024-08-06,448.1746938001488,358.58672281074723,145.38846366543657,187.44731640137707
2024-08-07,444.4905097900919,358.3383435499054,145.9086424641564,190.22031956881165
2024-08-08,463.2374586321512,362.1063621202902,148.68736916628404,193.3504813635118
2024-08-09,471.17139867605147,365.51572018775005,150.26461222826129,196.22910524874442
2024-08-12,469.59710828290554,366.290879465123,148.98230876997332,197.6627186548285
2024-08-13,480.06910760371466,372.0089285805461,150.47217417412412,200.64862931022344
2024-08-14,475.8099474866758,372.50108946956243,146.1239874915882,199.9462716839953
2024-08-15,484.642335771583,376.3500636102108,146.9352532819903,202.3530271693744
2024-08-16,477.4591302890767,375.44182899888256,148.89635547591388,204.3016413724581
2024-08-19,476.8715689472592,376.39444197044577,151.4828654404264,203.1892768180187
2024-08-20,471.9423267724851,377.21079971984364,151.1437852777808,202.6170924593207
2024-08-21,477.70931101381575,375.2217636760015,149.39541328454834,201.76428321735693
2024-08-22,473.6583769743447,366.718417948141,147.1254957079509,199.60567619782523
2024-08-23,471.7742871338778,369.07650166702297,149.3616386454214,202.35214815660584
2024-08-26,462.68151958308226,363.83806199162973,148.86006166804327,201.37349983554213
2024-08-27,461.84714160981093,364.9038301609362,147.79298284035667,202.54757361764587
2024-08-28,459.2389589836894,361.61854753942134,145.950067424179,200.9415682497056
2024-08-29,462.7114851111546,365.5704216440208,145.66444021021016,204.8400854144711
2024-08-30,467.339947727196,370.6102202191505,147.7799727900947,204.95570933902854
2024-09-02,468.846822882846,371.80520330586114,148.25646954707645,205.61656161137034
2024-09-03,459.31742914895585,364.1963156784004,142.12895998390013,199.61404924148883
2024-09-04,460.97120161495695,364.32782738861533,141.64994689960622,198.2265033284648
2024-09-05,463.3505716777654,362.8361863916871,141.95328261649593,199.0308050720887
2024-09-06,447.240744377752,355.90772067420403,135.78669989409173,197.0892968419048
2024-09-09,452.2543667404607,360.2442943649039,133.93870755128046,197.5946471003317
2024-09-10,454.2901632605135,369.42935968343227,134.9644874709902,197.76531868304846
2024-09-11,461.31733389797773,377.88025266850127,137.0953476870909,200.3567522599269
2024-09-12,474.1616594226798,381.7663798266949,140.27812072754386,200.63912344976416
2024-09-13,470.4166761133092,382.6489351532218,141.96701411673166,199.1845389064556
2024-09-16,478.18209510135057,382.9501830136287,142.38704023596802,193.4676272203069
2024-09-17,479.1322561770212,384.90623196959496,143.0122945267358,193.1720638119732
2024-09-18,480.86660202255734,381.2879419925739,143.56823395644733,196.760985805191
2024-09-19,500.1447268320517,388.55147912935536,145.84628796181642,204.20611500961422
2024-09-20,500.036551670084,383.8940296426881,146.47583778128683,202.74834056507098
2024-09-23,502.8128726484647,382.3801719176299,145.09364463144811,201.2315013897005
2024-09-24,504.0688544859877,380.2251514601521,146.244323785475,202.92414765275316
2024-09-25,504.9141344578784,380.1115527580223,144.62913939612463,200.59715552905436
2024-09-26,507.2235119602192,381.45867298700614,146.1603042467559,202.70601456566692
2024-09-27,504.70192108419724,376.9857197935926,146.8538842513226,202.10848481336143
2024-09-30,509.5567066689109,379.24377733333677,148.63991310648453,206.86740661687327
2024-10-01,514.6743256326408,371.87980943030016,150.1799821083414,201.43791909215815
2024-10-02,514.7669485527404,371.15563135719276,150.1704737435084,203.27242562801985
2024-10-03,524.4478246718427,371.1473428508907,150.28994988612794,202.55947419218683
2024-10-04,536.9278391762564,371.1538209629216,151.68076630585892,203.8121636532378
2024-10-07,529.803395333045,367.3695120420034,148.75111764250687,200.32814301380404
2024-10-08,537.0919866785043,371.96635009831516,149.92002925810357,203.9926085601819
2024-10-09,534.9360763543991,374.43289301728873,147.53145033805686,207.3989318578033
2024-10-10,530.4520326101192,374.08517436375405,148.0775421776343,207.56046198479453
2024-10-11,536.4758085297653,374.84078207449056,149.42259280646977,206.38847632935358
2024-10-14,537.3200450686636,377.6727622959006,151.20194464813721,209.95258258214017
2024-10-15,534.3360809292899,377.8729759772741,151.9272632020302,212.58266842630383
2024-10-16,526.9058556856326,376.3730376284293,152.130964215914,211.18591072860545
2024-10-17,528.0835560433843,377.66648428521876,150.39534067608201,211.94432519827387
2024-10-18,529.2672952027897,380.1241358660245,151.34795715212204,215.19882016305655
2024-10-21,526.1659801370661,379.3189873337142,151.4890614963515,215.77551032868087
2024-10-22,534.9323896343121,389.0445102335616,153.13665284421768,216.22023684391206
2024-10-23,519.0806725916482,387.1319878233262,151.27605619216774,211.9476889554735
2024-10-24,523.6599948785588,387.85264769346395,151.5573264251616,212.1024634883961
2024-10-25,526.573197863032,389.3993269240309,153.20320023638578,212.01687921832308
2024-10-28,532.4400882058071,388.97158382058115,154.83620980196247,214.38634995387838
2024-10-29,545.3439628708875,393.1232803371968,157.11760447648703,214.2334827175946
2024-10-30,543.7893062173389,393.5106462468393,161.6502164218109,210.88511700753588
2024-10-31,519.6832161560742,368.3802795120173,157.92155101268781,206.31017356576922
2024-11-01,518.0128162711917,371.1035882973847,157.49404118810344,203.0664476655511
2024-11-04,512.6406956221908,369.77035702481226,155.8630681215218,202.46229544540256
2024-11-05,523.4066719962211,372.50244454266794,156.53650691153962,203.78439680768497
2024-11-06,520.1697953204894,378.2954992881696,161.95644216836627,201.99662069082478
2024-11-07,548.133310078716,390.2089958035576,168.6499673495091,210.1848845487075
2024-11-08,542.8062259251092,385.32865481251065,165.45355682728587,208.7273985712527
2024-11-11,541.1475127688027,384.0535171247029,168.64864732408023,207.76166041265242
2024-11-12,545.2487258502515,390.5063959475501,170.70446277210976,208.7456126006873
2024-11-13,543.1826804490993,394.27181577767624,168.82381942175925,210.5150948094779
2024-11-14,543.2143713989644,397.8099294456988,166.7127354134118,214.47661882575358
2024-11-15,523.1776305524072,387.9799600433962,163.98868798869717,212.13404180222096
2024-11-18,523.2978093936472,388.5554153501507,166.67504351973366,214.90665840209113
2024-11-19,526.5553199548776,388.19868784657956,168.31858346283752,213.9096944570838
2024-11-20,530.0772300808312,385.5994354046434,166.01068109793505,214.32749753229382
2024-11-21,530.8732868907391,386.17073434863414,159.3597731172813,215.12381286967138
2024-11-22,531.0185978294066,392.8965827848606,157.99689912278973,217.9830048395579
2024-11-25,536.148889287284,394.1865378000166,160.54817387274943,220.60594871309604
2024-11-26,546.0002645054374,404.2181124166418,162.22645611288226,223.43904286094767
2024-11-27,539.4464816024338,397.71002707201296,161.6906067780219,222.3172103227762
2024-11-28,535.8074449728665,395.0271263472514,160.59986272687092,220.8174869964796
2024-11-29,540.5984492051721,395.4451436495219,160.28114822274802,223.06154505805353
2024-12-02,558.9707014759551,403.152177334272,162.89858103414736,225.56862440731857
2024-12-03,581.0176074277588,405.04222594007115,163.6166795167137,229.4035158274546
2024-12-04,580.6098403430151,410.509552055586,166.3676808996479,229.5339704957978
2024-12-05,575.8403669154723,415.25867955204376,164.63402117247824,229.48995280162308
2024-12-06,585.8922044448263,413.3409639376623,165.56783620517308,227.75328103225547
2024-12-09,577.4096874930365,416.4158929319492,166.6454798717159,231.8613094716966
2024-12-10,583.3873237286607,414.30672853863507,175.6893952305236,233.04606750108178
2024-12-11,597.2303198495792,420.4819853060035,185.6689367676472,232.3315936719746
2024-12-12,596.9263364461549,422.06236682767303,183.21609343816272,234.2981107324922
2024-12-13,588.8848365782469,421.2272152047408,181.65409852357607,235.19284490524205
2024-12-16,591.0243821760014,423.8390383257247,187.44534267333074,237.1361459884156
2024-12-17,586.0729910040573,426.23677278849755,186.33221295619478,239.27488903350877
2024-12-18,566.2219707103395,411.0984059866496,180.1255388130221,234.64666253416
2024-12-19,572.5857248467037,416.50651022914644,182.21324110932073,239.59833314224852
2024-12-20,561.8661530579993,415.5066759064721,185.08177433172023,243.7604408774405
2024-12-23,572.1223032916241,411.51707535560854,186.76049805798175,242.910936269378
